retrieval_date,year,geography_id,geography_name,metric,value,unit,population,value_status
2026-09-11,2023,EL30,Attica,total_nights,12380957.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL41,Northern Aegean,total_arrivals,574098.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL41,Northern Aegean,total_nights,2838330.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL42,Southern Aegean,total_arrivals,7979297.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL42,Southern Aegean,total_nights,38138389.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL43,Crete,total_arrivals,6310701.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL43,Crete,total_nights,34294729.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL51,Eastern Macedonia and Thrace,total_arrivals,990949.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL51,Eastern Macedonia and Thrace,total_nights,3644975.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL52,Central Macedonia,total_arrivals,4185855.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL52,Central Macedonia,total_nights,16223226.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL53,Western Macedonia,total_arrivals,173390.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL53,Western Macedonia,total_nights,345477.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL54,Epirus,total_arrivals,965498.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL54,Epirus,total_nights,2876455.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL61,Thessaly,total_arrivals,1366393.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL61,Thessaly,total_nights,4036792.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL62,Ionian Islands,total_arrivals,3306561.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL62,Ionian Islands,total_nights,19639380.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL63,Western Greece,total_arrivals,914251.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL63,Western Greece,total_nights,2321286.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL64,Central Greece,total_arrivals,1019579.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL64,Central Greece,total_nights,2911970.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL65,Peloponnese,total_arrivals,1960681.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2023,EL65,Peloponnese,total_nights,5416754.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL30,Attica,total_arrivals,5749800.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL30,Attica,total_nights,12713861.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL41,Northern Aegean,total_arrivals,632342.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL41,Northern Aegean,total_nights,2982473.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL42,Southern Aegean,total_arrivals,8425725.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL42,Southern Aegean,total_nights,41284529.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL43,Crete,total_arrivals,6422482.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL43,Crete,total_nights,34490721.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL51,Eastern Macedonia and Thrace,total_arrivals,1040463.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL51,Eastern Macedonia and Thrace,total_nights,3642032.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL52,Central Macedonia,total_arrivals,4428987.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL52,Central Macedonia,total_nights,17184700.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL53,Western Macedonia,total_arrivals,171798.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL53,Western Macedonia,total_nights,342558.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL54,Epirus,total_arrivals,968997.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL54,Epirus,total_nights,2971413.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL61,Thessaly,total_arrivals,1387198.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL61,Thessaly,total_nights,4004024.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL62,Ionian Islands,total_arrivals,3494289.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL62,Ionian Islands,total_nights,20420290.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL63,Western Greece,total_arrivals,913008.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL63,Western Greece,total_nights,2277746.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL64,Central Greece,total_arrivals,1018386.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL64,Central Greece,total_nights,2871010.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL65,Peloponnese,total_arrivals,2013068.0,arrivals,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
2026-09-11,2024,EL65,Peloponnese,total_nights,5567941.0,nights,hotels and similar establishments and short-stay accommodation establishments excluding tourist campsites,observed
