dataset_code,activity,year,month,value,status,flag
tour_occ_nim,I551,2025,6,17958227.0,observed,
tour_occ_nim,I551,2025,7,22191402.0,observed,
tour_occ_nim,I551,2025,8,23319541.0,observed,
tour_occ_nim,I551,2025,9,17801991.0,observed,
tour_occ_nim,I551,2025,10,9520082.0,observed,
tour_occ_nim,I551,2025,11,2087145.0,observed,
tour_occ_nim,I551,2025,12,1977937.0,observed,
tour_occ_nim,I552,2019,1,240471.0,observed,
tour_occ_nim,I552,2019,2,191257.0,observed,
tour_occ_nim,I552,2019,3,276913.0,observed,
tour_occ_nim,I552,2019,4,894367.0,observed,
tour_occ_nim,I552,2019,5,2134683.0,observed,
tour_occ_nim,I552,2019,6,5229782.0,observed,
tour_occ_nim,I552,2019,7,7596025.0,observed,
tour_occ_nim,I552,2019,8,8696696.0,observed,
tour_occ_nim,I552,2019,9,4955043.0,observed,
tour_occ_nim,I552,2019,10,1495977.0,observed,
tour_occ_nim,I552,2019,11,296372.0,observed,
tour_occ_nim,I552,2019,12,269978.0,observed,
tour_occ_nim,I552,2020,1,249839.0,observed,
tour_occ_nim,I552,2020,2,214166.0,observed,
tour_occ_nim,I552,2020,3,110642.0,observed,
tour_occ_nim,I552,2020,4,3481.0,observed,
tour_occ_nim,I552,2020,5,4894.0,observed,
tour_occ_nim,I552,2020,6,233900.0,observed,
tour_occ_nim,I552,2020,7,1558930.0,observed,
tour_occ_nim,I552,2020,8,2784808.0,observed,
tour_occ_nim,I552,2020,9,1316645.0,observed,
tour_occ_nim,I552,2020,10,536200.0,observed,
tour_occ_nim,I552,2020,11,104344.0,observed,
tour_occ_nim,I552,2020,12,81886.0,observed,
tour_occ_nim,I552,2021,1,46487.0,observed,
tour_occ_nim,I552,2021,2,40275.0,observed,
tour_occ_nim,I552,2021,3,58800.0,observed,
tour_occ_nim,I552,2021,4,53245.0,observed,
tour_occ_nim,I552,2021,5,261838.0,observed,
tour_occ_nim,I552,2021,6,1475615.0,observed,
tour_occ_nim,I552,2021,7,3530988.0,observed,
tour_occ_nim,I552,2021,8,4597742.0,observed,
tour_occ_nim,I552,2021,9,2865635.0,observed,
tour_occ_nim,I552,2021,10,988881.0,observed,
tour_occ_nim,I552,2021,11,187941.0,observed,
tour_occ_nim,I552,2021,12,156839.0,observed,
tour_occ_nim,I552,2022,1,115858.0,observed,
tour_occ_nim,I552,2022,2,128315.0,observed,
tour_occ_nim,I552,2022,3,200822.0,observed,
tour_occ_nim,I552,2022,4,658162.0,observed,
tour_occ_nim,I552,2022,5,1677414.0,observed,
tour_occ_nim,I552,2022,6,4110274.0,observed,
tour_occ_nim,I552,2022,7,7310629.0,observed,
tour_occ_nim,I552,2022,8,8355677.0,observed,
tour_occ_nim,I552,2022,9,4588810.0,observed,
tour_occ_nim,I552,2022,10,1363623.0,observed,
tour_occ_nim,I552,2022,11,256798.0,observed,
tour_occ_nim,I552,2022,12,238695.0,observed,
tour_occ_nim,I552,2023,1,229184.0,observed,
tour_occ_nim,I552,2023,2,194134.0,observed,
tour_occ_nim,I552,2023,3,279588.0,observed,
tour_occ_nim,I552,2023,4,922590.0,observed,
tour_occ_nim,I552,2023,5,2126467.0,observed,
tour_occ_nim,I552,2023,6,5067976.0,observed,
tour_occ_nim,I552,2023,7,7822127.0,observed,
tour_occ_nim,I552,2023,8,8921435.0,observed,
tour_occ_nim,I552,2023,9,4959780.0,observed,
tour_occ_nim,I552,2023,10,1497990.0,observed,
tour_occ_nim,I552,2023,11,283745.0,observed,
tour_occ_nim,I552,2023,12,266075.0,observed,
tour_occ_nim,I552,2024,1,232070.0,observed,
tour_occ_nim,I552,2024,2,199218.0,observed,
tour_occ_nim,I552,2024,3,301553.0,observed,
tour_occ_nim,I552,2024,4,947419.0,observed,
tour_occ_nim,I552,2024,5,2300530.0,observed,
tour_occ_nim,I552,2024,6,5218905.0,observed,
tour_occ_nim,I552,2024,7,8016119.0,observed,
tour_occ_nim,I552,2024,8,9304216.0,observed,
tour_occ_nim,I552,2024,9,5169351.0,observed,
tour_occ_nim,I552,2024,10,1610672.0,observed,
tour_occ_nim,I552,2024,11,295278.0,observed,
tour_occ_nim,I552,2024,12,279567.0,observed,
tour_occ_nim,I552,2025,1,238344.0,observed,
tour_occ_nim,I552,2025,2,210328.0,observed,
tour_occ_nim,I552,2025,3,309442.0,observed,
tour_occ_nim,I552,2025,4,971483.0,observed,
tour_occ_nim,I552,2025,5,2361711.0,observed,
tour_occ_nim,I552,2025,6,5434352.0,observed,
tour_occ_nim,I552,2025,7,8276508.0,observed,
tour_occ_nim,I552,2025,8,9824138.0,observed,
tour_occ_nim,I552,2025,9,5256763.0,observed,
tour_occ_nim,I552,2025,10,1614082.0,observed,
tour_occ_nim,I552,2025,11,298585.0,observed,
tour_occ_nim,I552,2025,12,280627.0,observed,
